id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
2408	infomap_13_RED	13	RED	1224	LIVER	148	2049	2246
2409	infomap_123_PASTURE	123	PASTURE	342	HAY	51	442	494
2410	infomap_1_GIVE	1	GIVE	1160	THIEF	65	547	702
2411	infomap_21_WORM	21	WORM	620	INSECT	41	454	505
2412	infomap_167_GEBANG PALM	167	GEBANG PALM	3156	GEBANG PALM	2	40	43
2413	infomap_54_CALL	54	CALL	1839	CRY	113	1490	1694
2414	infomap_21_WORM	21	WORM	3011	GRUB	3	72	75
2415	infomap_169_CURASSOW	169	CURASSOW	437	GUAN	13	54	59
2416	infomap_1_GIVE	1	GIVE	1519	RUN	104	1280	1489
2417	infomap_1_GIVE	1	GIVE	1506	MEASURE	69	485	556
2418	infomap_95_STALLION	95	STALLION	936	STALLION	46	304	351
2419	infomap_20_DARK	20	DARK	701	SLOW	75	983	1179
2420	infomap_1_GIVE	1	GIVE	2890	WALK (TAKE A WALK)	19	116	137
2421	infomap_27_FUR	27	FUR	3116	HATCH (OUT)	3	30	30
2422	infomap_102_THROUGH	102	THROUGH	894	TOAD	18	103	132
2423	infomap_8_MIND	8	MIND	3183	BREATH OR BREATHE	56	310	483
2424	infomap_25_BLAME	25	BLAME	1196	PENALTY	2	29	33
2425	infomap_63_BEESWAX	63	BEESWAX	32	EARWAX	45	290	313
2426	infomap_22_WOUND	22	WOUND	1847	SICK	94	1119	1532
2427	infomap_182_MATERNAL AUNT (MOTHER'S OLDER SISTER)	182	MATERNAL AUNT (MOTHER'S OLDER SISTER)	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	1	8	8
2428	infomap_76_GOAT	76	GOAT	264	HE-GOAT	39	451	483
2429	infomap_62_FIFTY	62	FIFTY	2242	BEETLE	1	37	40
2430	infomap_32_HAND	32	HAND	1389	TOE	81	651	716
2431	infomap_1_GIVE	1	GIVE	3151	CUT (WITH AXE)	9	186	211
2432	infomap_79_BIRD	79	BIRD	937	BIRD	194	2599	3055
2433	infomap_64_OLD	64	OLD	305	GRANDPARENTS	19	193	238
2434	infomap_44_FOOD	44	FOOD	1707	TWELVE	64	673	695
2435	infomap_180_ROT	180	ROT	569	SPOIL (BECOME SPOILED)	21	162	177
2436	infomap_1_GIVE	1	GIVE	2549	VEHICLE	2	63	63
2437	infomap_146_SIGN	146	SIGN	1024	CHARACTER	18	101	111
2438	infomap_1_GIVE	1	GIVE	2135	TRADE OR BARTER	57	446	610
2439	infomap_178_FOUR DAYS BEFORE NOW	178	FOUR DAYS BEFORE NOW	2333	THREE DAYS BEFORE NOW	2	17	18
2440	infomap_139_PART	139	PART	3208	CENTER OR MIDDLE	55	307	417
2441	infomap_34_BOWL	34	BOWL	507	MELON	6	138	138
2442	infomap_52_PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	52	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	1	59	60
2443	infomap_14_CHILD (DESCENDANT)	14	CHILD (DESCENDANT)	2702	GRANDSON (SON'S SON)	1	26	27
2444	infomap_1_GIVE	1	GIVE	370	BARTER	2	10	12
2445	infomap_61_THING	61	THING	2214	AFFAIR	18	231	330
2446	infomap_38_HARD	38	HARD	1774	STINGY	70	474	681
2447	infomap_32_HAND	32	HAND	799	WRIST	65	383	419
2448	infomap_14_CHILD (DESCENDANT)	14	CHILD (DESCENDANT)	2099	CHILD	29	864	1140
2449	infomap_15_LOW	15	LOW	2307	THIN (OF HAIR AND LEAF)	3	114	125
2450	infomap_39_BARK	39	BARK	2614	SKIN (ANIMAL)	1	13	13
2451	infomap_1_GIVE	1	GIVE	643	NEED (NOUN)	54	304	442
2452	infomap_1_GIVE	1	GIVE	289	MOLD	41	369	450
2453	infomap_74_I	74	I	1131	WE (INCLUSIVE)	74	809	925
2454	infomap_102_THROUGH	102	THROUGH	2918	BECAUSE OF	18	99	134
2455	infomap_23_HOOK	23	HOOK	245	BROOM	76	838	968
2456	infomap_1_GIVE	1	GIVE	1663	BED	83	853	1062
2457	infomap_69_LETTER	69	LETTER	2711	TRANSPORT	1	18	18
2458	infomap_1_GIVE	1	GIVE	575	TREAD	1	51	51
2459	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	1272	AUNT	62	570	852
2460	infomap_1_GIVE	1	GIVE	1585	SLEEP	183	2423	3093
2461	infomap_144_PHYSICIAN	144	PHYSICIAN	597	PHYSICIAN	66	501	684
2462	infomap_1_GIVE	1	GIVE	2154	PLOUGH (INSTRUMENT)	10	240	448
2463	infomap_1_GIVE	1	GIVE	1920	DREAM (SOMETHING)	81	724	834
2464	infomap_12_TIME	12	TIME	952	WEATHER	49	389	445
2465	infomap_75_PATH	75	PATH	1362	STREET	24	58	66
2466	infomap_8_MIND	8	MIND	1175	GHOST	63	695	871
2467	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	1060	CHILD-IN-LAW	12	18	26
2468	infomap_21_WORM	21	WORM	1538	SCORPION	60	774	826
2469	infomap_1_GIVE	1	GIVE	1439	SWIM	140	1538	1762
2470	infomap_104_STRING	104	STRING	362	STRING	22	249	316
2471	infomap_30_KNIFE	30	KNIFE	2343	STEEL	2	155	184
2472	infomap_69_LETTER	69	LETTER	2988	PATTERN	21	104	121
2473	infomap_54_CALL	54	CALL	3243	CYPRESS	1	14	14
2474	infomap_3_THAT	3	THAT	2310	US (OBLIQUE CASE OF WE)	2	202	224
2475	infomap_7_SPEAK	7	SPEAK	3167	SERMON	2	28	29
2476	infomap_8_MIND	8	MIND	1223	HEART	153	2071	2310
2477	infomap_64_OLD	64	OLD	3004	FORMER	18	100	116
2478	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	640	MUD	75	861	1093
2479	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	921	VALLEY	53	352	449
2480	infomap_1_GIVE	1	GIVE	2038	DRAGON	2	84	85
2481	infomap_73_OIL (ORGANIC SUBSTANCE)	73	OIL (ORGANIC SUBSTANCE)	650	PETROLEUM	21	37	44
2482	infomap_118_DUCK	118	DUCK	1830	CRANE	19	117	126
2483	infomap_5_TREE	5	TREE	1803	WOOD	81	1084	1469
2484	infomap_73_OIL (ORGANIC SUBSTANCE)	73	OIL (ORGANIC SUBSTANCE)	323	FAT (ORGANIC SUBSTANCE)	148	1866	2548
2485	infomap_34_BOWL	34	BOWL	476	CUP	68	512	642
2486	infomap_8_MIND	8	MIND	2929	BENEFIT	18	103	130
2487	infomap_69_LETTER	69	LETTER	963	BOOK	66	579	632
2488	infomap_37_HOLE	37	HOLE	915	SINK (BASIN)	18	94	107
2489	infomap_1_GIVE	1	GIVE	2870	RECOGNIZE (SOMEBODY)	20	102	119
2490	infomap_1_GIVE	1	GIVE	1022	BOOTY	35	232	313
2491	infomap_156_CHARCOAL	156	CHARCOAL	662	BATTERY	20	34	38
